,labels,images,D10,D40,D00,D20,D44,D50,split
0,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_005685.xml,./RDD2022_all_countries/Japan/train/images/Japan_005685.jpg,1,0,4,0,0,0,train
1,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_004111.xml,./RDD2022_all_countries/Japan/train/images/Japan_004111.jpg,0,0,1,0,0,0,train
2,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_001938.xml,./RDD2022_all_countries/United_States/train/images/United_States_001938.jpg,2,0,2,0,0,0,train
3,./RDD2022_all_countries/India/train/annotations/xmls/India_004181.xml,./RDD2022_all_countries/India/train/images/India_004181.jpg,0,2,0,0,0,0,train
4,./RDD2022_all_countries/China_Drone/train/annotations/xmls/China_Drone_000258.xml,./RDD2022_all_countries/China_Drone/train/images/China_Drone_000258.jpg,0,0,0,1,0,0,train
5,./RDD2022_all_countries/Czech/train/annotations/xmls/Czech_001145.xml,./RDD2022_all_countries/Czech/train/images/Czech_001145.jpg,0,0,1,0,0,0,train
6,./RDD2022_all_countries/Czech/train/annotations/xmls/Czech_003544.xml,./RDD2022_all_countries/Czech/train/images/Czech_003544.jpg,1,0,1,0,0,0,train
7,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_003010.xml,./RDD2022_all_countries/Japan/train/images/Japan_003010.jpg,0,0,0,0,0,1,train
8,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_000612.xml,./RDD2022_all_countries/United_States/train/images/United_States_000612.jpg,0,0,1,0,0,0,train
9,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_004255.xml,./RDD2022_all_countries/Japan/train/images/Japan_004255.jpg,0,0,0,1,1,0,train
10,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_012834.xml,./RDD2022_all_countries/Japan/train/images/Japan_012834.jpg,3,0,0,0,2,0,train
11,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_002184.xml,./RDD2022_all_countries/United_States/train/images/United_States_002184.jpg,2,0,1,0,0,0,train
12,./RDD2022_all_countries/India/train/annotations/xmls/India_005343.xml,./RDD2022_all_countries/India/train/images/India_005343.jpg,0,2,0,0,0,0,train
13,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_000704.xml,./RDD2022_all_countries/Japan/train/images/Japan_000704.jpg,0,0,0,0,0,1,train
14,./RDD2022_all_countries/India/train/annotations/xmls/India_003550.xml,./RDD2022_all_countries/India/train/images/India_003550.jpg,0,1,0,1,0,0,train
15,./RDD2022_all_countries/India/train/annotations/xmls/India_001121.xml,./RDD2022_all_countries/India/train/images/India_001121.jpg,0,1,1,0,0,0,train
16,./RDD2022_all_countries/India/train/annotations/xmls/India_006493.xml,./RDD2022_all_countries/India/train/images/India_006493.jpg,0,0,2,1,0,0,train
17,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_001294.xml,./RDD2022_all_countries/United_States/train/images/United_States_001294.jpg,1,0,2,0,0,0,train
18,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_001405.xml,./RDD2022_all_countries/Japan/train/images/Japan_001405.jpg,0,0,1,0,0,0,train
19,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_000906.xml,./RDD2022_all_countries/United_States/train/images/United_States_000906.jpg,2,0,1,0,0,0,train
20,./RDD2022_all_countries/India/train/annotations/xmls/India_008172.xml,./RDD2022_all_countries/India/train/images/India_008172.jpg,0,0,0,1,0,0,train
21,./RDD2022_all_countries/India/train/annotations/xmls/India_000808.xml,./RDD2022_all_countries/India/train/images/India_000808.jpg,0,4,0,1,0,0,train
22,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_005259.xml,./RDD2022_all_countries/Japan/train/images/Japan_005259.jpg,0,1,0,0,0,1,train
23,./RDD2022_all_countries/India/train/annotations/xmls/India_006125.xml,./RDD2022_all_countries/India/train/images/India_006125.jpg,0,0,1,0,0,0,train
24,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_002113.xml,./RDD2022_all_countries/Japan/train/images/Japan_002113.jpg,0,0,1,0,0,0,train
25,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_009262.xml,./RDD2022_all_countries/Japan/train/images/Japan_009262.jpg,2,1,2,0,0,0,train
26,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_009206.xml,./RDD2022_all_countries/Japan/train/images/Japan_009206.jpg,0,1,0,0,0,1,train
27,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_004200.xml,./RDD2022_all_countries/Japan/train/images/Japan_004200.jpg,0,0,0,0,1,0,train
28,./RDD2022_all_countries/Czech/train/annotations/xmls/Czech_002543.xml,./RDD2022_all_countries/Czech/train/images/Czech_002543.jpg,0,0,0,1,0,0,train
29,./RDD2022_all_countries/China_MotorBike/train/annotations/xmls/China_MotorBike_000938.xml,./RDD2022_all_countries/China_MotorBike/train/images/China_MotorBike_000938.jpg,0,0,2,1,0,0,train
30,./RDD2022_all_countries/India/train/annotations/xmls/India_004854.xml,./RDD2022_all_countries/India/train/images/India_004854.jpg,0,2,1,0,0,0,train
31,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_010591.xml,./RDD2022_all_countries/Japan/train/images/Japan_010591.jpg,1,0,0,2,0,1,train
32,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_011787.xml,./RDD2022_all_countries/Japan/train/images/Japan_011787.jpg,0,0,0,1,2,0,train
33,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_001446.xml,./RDD2022_all_countries/Japan/train/images/Japan_001446.jpg,0,0,0,1,0,0,train
34,./RDD2022_all_countries/India/train/annotations/xmls/India_001590.xml,./RDD2022_all_countries/India/train/images/India_001590.jpg,0,0,1,1,0,0,train
35,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_012040.xml,./RDD2022_all_countries/Japan/train/images/Japan_012040.jpg,0,0,0,1,1,0,train
36,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_003686.xml,./RDD2022_all_countries/Japan/train/images/Japan_003686.jpg,0,0,0,0,0,2,train
37,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_004571.xml,./RDD2022_all_countries/Japan/train/images/Japan_004571.jpg,0,0,1,1,1,0,train
38,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_008702.xml,./RDD2022_all_countries/Japan/train/images/Japan_008702.jpg,0,0,0,0,1,0,train
39,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_002323.xml,./RDD2022_all_countries/Japan/train/images/Japan_002323.jpg,0,0,1,1,0,0,train
40,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_002567.xml,./RDD2022_all_countries/Japan/train/images/Japan_002567.jpg,0,0,0,0,1,1,train
41,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_004503.xml,./RDD2022_all_countries/Japan/train/images/Japan_004503.jpg,1,0,0,1,2,0,train
42,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_002439.xml,./RDD2022_all_countries/United_States/train/images/United_States_002439.jpg,0,0,2,1,0,0,train
43,./RDD2022_all_countries/United_States/train/annotations/xmls/United_States_004494.xml,./RDD2022_all_countries/United_States/train/images/United_States_004494.jpg,1,0,1,1,0,0,train
44,./RDD2022_all_countries/India/train/annotations/xmls/India_004701.xml,./RDD2022_all_countries/India/train/images/India_004701.jpg,0,5,2,1,0,0,train
45,./RDD2022_all_countries/Japan/train/annotations/xmls/Japan_008025.xml,./RDD2022_all_countries/Japan/train/images/Japan_008025.jpg,0,0,1,0,0,0,train
46,./RDD2022_all_countries/India/train/annotations/xmls/India_002795.xml,./RDD2022_all_countries/India/train/images/India_002795.jpg,0,3,0,1,0,0,train
